Classifier,Weighted,Epochs,EmbeddingSize,HiddenSize,NumLayers,KernelSize,Dropout,BatchSize,LearningRate,Accuracy,F1,NegF1,PosF1
CNN,True,30,128,[64|64],N/A,3,0.1,100,0.001,0.5532739248353351,0.5683024683748074,0.3806104129263914,0.5898876404494381
CNN,True,30,64,32,N/A,5,0.0,100,0.001,0.5966679581557536,0.5798544330852983,0.27932960893854747,0.5916069600818834
CNN,True,30,128,[128|128],N/A,5,0.1,100,0.001,0.6175900813638124,0.6107645121372128,0.395128552097429,0.5922848664688427
CNN,True,30,64,[64|64],N/A,[1|3],0.1,100,0.001,0.6055792328554823,0.5977819672174969,0.32802547770700635,0.6242718446601941
CNN,True,30,128,[64|64],N/A,[1|3],0.1,100,0.001,0.6110034870205346,0.6133460146950654,0.38661710037174724,0.6358441558441558
CNN,True,30,128,[64|64],N/A,[1|3],0.0,100,0.001,0.5691592406044169,0.5170005338321201,0.28169014084507044,0.4084919472913617
CNN,True,30,128,[32|32],N/A,[1|3],0.0,100,0.001,0.5904688105385509,0.5943622648784641,0.3900709219858156,0.6124803356056634
CNN,True,30,128,[32|32],N/A,[1|3],0.1,100,0.001,0.5370011623401783,0.5596908195109166,0.3623639191290824,0.5714285714285714
CNN,True,30,64,[32|32],N/A,[1|3],0.1,100,0.001,0.5408756296009298,0.5306994217998923,0.3685741998060135,0.43736422881969583
CNN,True,30,32,[128|128],N/A,5,0.1,100,0.001,0.5962805114296784,0.5872451861289039,0.32066115702479336,0.6205910390848427
CNN,True,30,128,[32|32],N/A,3,0.1,100,0.001,0.6144905075552112,0.5992714123182331,0.3449367088607595,0.5824308062575211
CNN,True,30,32,[32|32],N/A,5,0.1,100,0.001,0.5215032932971716,0.5356630360691117,0.37079573420836753,0.6046277665995975
CNN,True,30,128,64,N/A,3,0.1,100,0.001,0.5683843471522666,0.5689185546300577,0.3819951338199513,0.6242670275146595
CNN,True,30,64,[128|128],N/A,5,0.1,100,0.001,0.6098411468423092,0.5865131360235664,0.28975265017667845,0.5652173913043478
CNN,True,30,128,128,N/A,[1|3|5],0.0,100,0.001,0.6110034870205346,0.5988543640240392,0.33628318584070793,0.6112493777999004
CNN,True,30,128,[128|128],N/A,[1|3],0.0,100,0.001,0.5420379697791554,0.5541373210111626,0.3844797178130511,0.6186906546726637
CNN,True,30,128,[128|128],N/A,[1|3],0.1,100,0.001,0.5222781867493219,0.5002438210368035,0.37821482602118,0.6008109104312569
CNN,True,30,32,32,N/A,[1|3|5],0.0,100,0.001,0.5881441301821,0.5738326584111585,0.31442463533225284,0.5614236509758896
CNN,True,30,128,32,N/A,[1|3],0.1,100,0.001,0.5803951956605967,0.5764612346195513,0.3969465648854962,0.5252263906856404
CNN,True,30,128,64,N/A,[1|3|5],0.0,100,0.001,0.6133281673769857,0.5938987335509478,0.3460837887067395,0.5747527632344386
CNN,True,30,128,32,N/A,5,0.0,100,0.001,0.555211158465711,0.5543706539321032,0.38514173998044965,0.4966622162883844
CNN,True,30,128,128,N/A,3,0.1,100,0.001,0.5110422316931422,0.5371866212200975,0.3645251396648045,0.5539033457249071
CNN,True,30,32,[64|64],N/A,5,0.1,100,0.001,0.5769081751259202,0.5734687088258097,0.363901018922853,0.6101843722563651
CNN,True,30,128,[64|64],N/A,5,0.1,100,0.001,0.6009298721425804,0.5876110354950179,0.41388518024032045,0.5311897106109325
